27/4/2007;22:35:00;2.488;0.000;234.480;10.600;0.000;0.000;17.000
27/4/2007;22:36:00;2.488;0.000;234.570;10.600;0.000;0.000;17.000
27/4/2007;22:37:00;2.488;0.000;234.530;10.600;0.000;0.000;17.000
27/4/2007;22:38:00;2.530;0.000;234.130;10.800;0.000;0.000;16.000
27/4/2007;22:39:00;2.550;0.052;233.890;10.800;0.000;0.000;17.000
27/4/2007;22:40:00;2.554;0.052;233.840;11.000;0.000;0.000;17.000
27/4/2007;22:41:00;2.556;0.052;234.040;11.000;0.000;0.000;17.000
27/4/2007;22:42:00;2.556;0.052;234.100;11.000;0.000;0.000;17.000
27/4/2007;22:43:00;2.546;0.050;233.790;10.800;0.000;0.000;16.000
27/4/2007;22:44:00;2.544;0.050;233.700;10.800;0.000;0.000;17.000
27/4/2007;22:45:00;2.550;0.048;233.770;11.000;0.000;0.000;17.000
27/4/2007;22:46:00;2.540;0.048;233.760;10.800;0.000;0.000;17.000
27/4/2007;22:47:00;2.544;0.052;234.410;10.800;0.000;0.000;16.000
27/4/2007;22:48:00;2.562;0.060;234.390;11.000;0.000;0.000;17.000
27/4/2007;22:49:00;2.584;0.184;234.490;11.000;0.000;0.000;17.000
27/4/2007;22:50:00;2.490;0.192;234.780;10.600;0.000;0.000;17.000
27/4/2007;22:51:00;2.504;0.196;235.710;10.600;0.000;0.000;17.000
27/4/2007;22:52:00;2.504;0.196;235.820;10.600;0.000;0.000;17.000
27/4/2007;22:53:00;2.256;0.194;235.720;9.600;0.000;0.000;17.000
27/4/2007;22:54:00;2.170;0.186;233.980;9.200;0.000;0.000;17.000
27/4/2007;22:55:00;2.184;0.190;234.970;9.200;0.000;0.000;17.000
27/4/2007;22:56:00;2.182;0.170;235.910;9.200;0.000;0.000;17.000
27/4/2007;22:57:00;2.136;0.096;236.230;9.000;0.000;0.000;17.000
27/4/2007;22:58:00;1.988;0.096;236.090;8.600;0.000;0.000;15.000
27/4/2007;22:59:00;1.108;0.110;237.480;4.600;0.000;0.000;0.000
27/4/2007;23:00:00;1.106;0.108;237.090;4.600;0.000;0.000;0.000
27/4/2007;23:01:00;1.104;0.108;236.870;4.600;0.000;0.000;0.000
27/4/2007;23:02:00;1.106;0.108;237.120;4.600;0.000;0.000;0.000
27/4/2007;23:03:00;1.104;0.108;237.280;4.600;0.000;0.000;0.000
27/4/2007;23:04:00;1.108;0.110;237.650;4.600;0.000;0.000;0.000
27/4/2007;23:05:00;1.104;0.110;237.310;4.600;0.000;0.000;0.000
27/4/2007;23:06:00;1.112;0.112;237.960;4.600;0.000;0.000;0.000
27/4/2007;23:07:00;1.110;0.110;238.270;4.600;0.000;0.000;0.000
27/4/2007;23:08:00;1.024;0.000;238.430;4.200;0.000;0.000;0.000
27/4/2007;23:09:00;1.028;0.000;238.960;4.200;0.000;0.000;0.000
27/4/2007;23:10:00;1.032;0.000;239.520;4.200;0.000;0.000;0.000
27/4/2007;23:11:00;1.032;0.000;239.480;4.200;0.000;0.000;0.000
27/4/2007;23:12:00;1.032;0.000;239.410;4.200;0.000;0.000;0.000
27/4/2007;23:13:00;1.030;0.000;239.400;4.200;0.000;0.000;0.000
